S.NO.,TEST CODE,INVESTIGETATION,SAMPLE TYPE,TEMPERATURE,SPECIAL INSTRUCTION FOR SAMPLE COLLECTION,METHOD,CUT OFF TIME,REPORTED ON,NET,MRP,NET % OF MRP
1,C001,17 - ALPHA OH PROGESTERONE - HORMONE ASSAYS,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,700,1550,45.2%
2,C214,17-OH KETOSTEROIDS - 24Hrs. Urine,"20 ml. (10 ml. Minimum)
sterile, 24 Hour container. aliquot of urine in a
screw capped , Record 24",Refrigerated(2-8°C),"Add appropriate volume
of 50% HCL. to maintain pH below 5.
Record 24 Hour Urine",Column Chromatograp hy,4.30 PM,4th Working Day,3250,5250,61.9%
3,C217,5-ALPHA DHT (DI -HYDRO TESTOSTERONE) - HORMONE,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme Immunoassay (EIA),4.30 PM,Next day Evening Except Sunday,1450,3150,46.0%
4,C188,5-HYDROXY INDOLE ACETIC ACID (5-HIAA),"50 ml. (10 ml. Minimum) well mixed aliquot of 24 Hour urine in a sterile screw
capped plastic container",Refrigerated(2-8°C),"The patient should strictly avoid plum, banana, Kiwis, walnut,
avocado  eggplant","High Performance Liquid
Chromatograp",4.30 PM,6th  Working day,2050,3050,67.2%
5,C224,"1, 25-Di HYDROXY CHOLECALCIFEROL
(Vitamin D3)",2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,1850,3250,56.9%
6,H056,ABSOLUTE EOSINOPHIL COUNT,3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),Do Not Freeze,Electronic Cell Counter & Microscopy,5.30 PM,Same Day,70,180,38.9%
7,H011,ABSOLUTE LYMPHOCYTE COUNT,3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),Do Not Freeze,Electronic Cell Counter & Microscopy,5.30 PM,Same Day,70,180,38.9%
8,H012,ABSOLUTE NEUTROPHIL COUNT,3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),Do Not Freeze,Electronic Cell Counter & Microscopy,5.30 PM,Same Day,70,180,38.9%
9,H061,ABSOLUTE RETICULOCYTE COUNT,3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),Do Not Freeze,Light Microscopy,5.30 PM,Same Day,90,200,45.0%
10,H550,ABSOLUTE WBC COUNT,3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),,Electronic Cell Counter & Microscopy,5.30 PM,,90,200,45.0%
11,C643,ACETONE,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Biochemistry,4.30 PM,3rd Working Day,400,750,53.3%
12,C193,"ACETYLCHOLINE RECEPTOR ANTIBODIES
(MYASTHENIA GRAVIS)",2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Radio Immunoassay( RIA),4.30 PM,3rd working Day,3250,4650,69.9%
13,M002,ACID FAST SUSCEPTIBILITY - 10 DRUGS (BACTEC),Positive culture of any sample,AMBIENT (18-25° C),Send Sample In Sterile Container,Automated Sensitivity,4.30 PM,28th - 32nd Working Day,6250,10500,59.5%
14,M001,ACID FAST SUSCEPTIBILITY - 5 DRUGS (BACTEC),Positive culture of any sample,AMBIENT (18-25° C),Send Sample In Sterile Container,Automated Sensitivity,4.30 PM,28th - 32nd Working Day,3050,6250,48.8%
15,M004,ACID FAST SUSPECTIBILITY - 10 DRUGS. (L-J),Positive culture of any sample,AMBIENT (18-25° C),Send Sample In Sterile Container,Automated Sensitivity,4.30 PM,28th - 32nd Working Day,2550,4550,56.0%
16,M003,ACID FAST SUSPECTIBILITY - 5 DRUGS (L-J),Positive culture of any sample,AMBIENT (18-25° C),Send Sample In Sterile Container,Automated Sensitivity,4.30 PM,28th - 32nd Working Day,1450,3250,44.6%
