Package Name,Tests in Package,Price
"STARHEALTH Package 1 (P1)","BLOOD UREA NITROGEN (BUN), COMPLETE BLOOD COUNT (CBC), URINE EXAMINATION ROUTINE, CREATININE, HBA1C, LIVER FUNCTION TEST (LFT), URIC ACID -  SERUM, BLOOD GLUCOSE FASTING",300
"STARHEALTH Package 5 (P5)","BLOOD GLUCOSE FASTING, HAEMOGRAM (CBC+ESR), URINE EXAMINATION ROUTINE, CREATININE, THYROID PROFILE FREE, HBA1C, LIPID PROFILE , LIVER FUNCTION TEST (LFT), URIC ACID -  SERUM, MICROALBUMIN - 24hrs Urine",530
"STARHEALTH Package 2 (Package 2)","BLOOD UREA NITROGEN (BUN), COMPLETE BLOOD COUNT (CBC), URINE EXAMINATION ROUTINE, THYROID PROFILE FREE, HBA1C, LIPID PROFILE , LIVER FUNCTION TEST (LFT), URIC ACID -  SERUM, BLOOD GLUCOSE FASTING, CREATININE",440
"STARHEALTH Package 6 (P6)","BLOOD GLUCOSE FASTING, BLOOD UREA NITROGEN (BUN), CALCIUM, HAEMOGRAM (CBC+ESR), URINE EXAMINATION ROUTINE, CREATININE, THYROID PROFILE FREE, HBA1C, HEPATITIS B SURFACE ANTIBODY TOTAL
(Anti Hbs), LIPID PROFILE , LIVER FUNCTION TEST (LFT), URIC ACID -  SERUM, MICROALBUMIN - 24hrs Urine",700
"STARHEALTH Package 3 (Package 3)","BLOOD GLUCOSE FASTING, BLOOD UREA NITROGEN (BUN), HAEMOGRAM (CBC+ESR), URINE EXAMINATION ROUTINE, THYROID PROFILE FREE, HBA1C, LIPID PROFILE , LIVER FUNCTION TEST (LFT), URIC ACID -  SERUM, CREATININE",165
"STARHEALTH Package 7 (7)","AMYLASE, BLOOD GLUCOSE FASTING, BLOOD UREA NITROGEN (BUN), CALCIUM, HAEMOGRAM (CBC+ESR), URINE EXAMINATION ROUTINE, CREATININE, ELECTROLYTE PLUS PROFILE, THYROID PROFILE FREE, HBA1C, HEPATITIS B SURFACE ANTIBODY TOTAL
(Anti Hbs), LIPID PROFILE , LIVER FUNCTION TEST (LFT), LIPASE, MICROALBUMIN - 24hrs Urine, URIC ACID -  SERUM, VITAMIN D 25-HYDROXY, ALBUMIN / CREATININE RATIO",820
"STARHEALTH Package 4 (Package 4)","BLOOD GLUCOSE FASTING, BLOOD UREA NITROGEN (BUN), HAEMOGRAM (CBC+ESR), URINE EXAMINATION ROUTINE, CREATININE, THYROID PROFILE FREE, HBA1C, LIPID PROFILE , LIVER FUNCTION TEST (LFT), MICROALBUMIN - 24hrs Urine, URIC ACID -  SERUM",520
"STARHEALTH Package 8 (8)","ALBUMIN / CREATININE RATIO, AMYLASE, BLOOD GLUCOSE FASTING, BLOOD UREA NITROGEN (BUN), CALCIUM, HAEMOGRAM (CBC+ESR), URINE EXAMINATION ROUTINE, CREATININE, ELECTROLYTE PLUS PROFILE, THYROID PROFILE FREE, HBA1C, HEPATITIS B SURFACE ANTIBODY TOTAL
(Anti Hbs), LIPASE, LIPID PROFILE , LIVER FUNCTION TEST (LFT), PROSTATE SPECIFIC ANTIGEN (TOTAL) PSA, MICROALBUMIN - 24hrs Urine, URIC ACID -  SERUM, VITAMIN D 25-HYDROXY",880
"STARHEALTH Package 10 (P10)","ALBUMIN / CREATININE RATIO, AMYLASE, BLOOD GLUCOSE FASTING, BLOOD UREA NITROGEN (BUN), CALCIUM, HAEMOGRAM (CBC+ESR), URINE EXAMINATION ROUTINE, CREATININE, ELECTROLYTE PLUS PROFILE, THYROID PROFILE FREE, HBA1C, HEPATITIS B SURFACE ANTIBODY TOTAL
(Anti Hbs), HIGH SENSITIVE CRP (HSCRP), LIPASE, LIPID PROFILE , LIVER FUNCTION TEST (LFT), PROSTATE SPECIFIC ANTIGEN (TOTAL) PSA, RHEUMATOID FACTOR (RA FACTOR) - QUANTITATIVE, MICROALBUMIN - 24hrs Urine, URIC ACID -  SERUM, VITAMIN D 25-HYDROXY",1500
"STARHEALTH Package 9 (9)","ALBUMIN / CREATININE RATIO, AMYLASE, BLOOD GLUCOSE FASTING, BLOOD UREA NITROGEN (BUN), CALCIUM, HAEMOGRAM (CBC+ESR), URINE EXAMINATION ROUTINE, CREATININE, ELECTROLYTE PLUS PROFILE, THYROID PROFILE FREE, HBA1C, HEPATITIS B SURFACE ANTIBODY TOTAL
(Anti Hbs), LIPASE, LIPID PROFILE , LIVER FUNCTION TEST (LFT), PROSTATE SPECIFIC ANTIGEN (TOTAL) PSA, RHEUMATOID FACTOR (RA FACTOR) - QUANTITATIVE, MICROALBUMIN - 24hrs Urine, URIC ACID -  SERUM, VITAMIN D 25-HYDROXY",1100
