"Package Name","Times Booked","MRP"
"SDL 1.3","535","2700"
"SDL 1.1","215","1500"
"Male GH Profile","179","4,499"
"SDL 1.2","81","1800"
"SDL 1.4","54","3000"
"STARHEALTH Package 8","49","880"
"STARHEALTH Package 7","29","820"
"NIVA BUPA_PACKAGE 3","28","600"
"STARHEALTH Package 5","26","530"
"STARHEALTH Package 12","21","1,960"
"ANC NORMAL","17","1,600"
"SAWARIYA GOLD","14","3,599"
"STARHEALTH Package 9","13","1,100"
"STARHEALTH Package 3","12","165"
"ANC DELIVERY","9","1,600"
"SDL 1.0","7","1,750"
"SAWARIYA SILVER","5","1,999"
"Package 13","4","10,465"
"STARHEALTH Package 2","4","440"
"PCOD PROFILE ","3","3,200"
"SAWARIYA BRONZE","3","1,599"
"STARHEALTH Package 4","3","520"
"STARHEALTH Package 1","3","300"
"Female GH Profile","2","4,499"
"STARHEALTH Package 6","2","700"
"MALE FERITILITY ","1","3,550"
"SAWARIYA PLATINIUM","1","3,999"
"NIVA BUPA_PACKAGE 5","1","450"
"STARHEALTH Package 10","1","1,500"
